Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1wV03IHNBW0ZkT5lBCScXb","Lovers In Japan - Osaka Sun Mix","Coldplay","Viva La Vida - Prospekt's March Edition","2","7","238240","spotify:user:1251123611","2016-10-05T02:34:18Z"
"spotify:track:0R4vpVecKzG3QNjB5rj4TQ","Home","Edward Sharpe & The Magnetic Zeros","Up From Below","1","6","303200","spotify:user:1251123611","2016-10-05T02:34:48Z"
"spotify:track:3LeNQIGi0zwmQm8WShZB95","No One's Gonna Love You","Band of Horses","Cease To Begin","1","3","217333","spotify:user:1251123611","2016-10-05T02:34:53Z"
"spotify:track:00jlyC6x233qlS1vhLHdA3","Can't Take My Eyes off You","Andy Williams","The Very Best Of Andy Williams","1","4","192840","spotify:user:1251123611","2016-10-05T02:35:01Z"
"spotify:track:6Ac4NVYYl2U73QiTt11ZKd","Hooked on a Feeling","Blue Swede","Hooked On A Feeling","1","1","172866","spotify:user:1251123611","2016-10-05T02:35:14Z"
"spotify:track:38zsOOcu31XbbYj9BIPUF1","Your Song","Elton John","Elton John (Deluxe Edition)","1","1","240750","spotify:user:1251123611","2016-10-05T02:35:21Z"
"spotify:track:0zulYs8vHhhN0hl8wvYgdv","Electric Love","BØRNS","Candy","1","1","218160","spotify:user:1251123611","2016-10-05T02:35:32Z"
"spotify:track:5j6ZZwA9BnxZi5Bk0Ng4jB","Heroes - 1999 Remastered Version","David Bowie","Heroes","1","3","370373","spotify:user:1251123611","2016-10-05T02:35:37Z"
"spotify:track:66S14BkJDxgkYxLl5DCqOz","I'm Gonna Be (500 Miles)","The Proclaimers","Finest","1","1","219480","spotify:user:1251123611","2016-10-05T02:35:42Z"
"spotify:track:734Bm0wCyh215uaDkq1Aq0","Holding Out for a Hero","Bonnie Tyler","Footloose (15th Anniversary Collectors' Edition)","1","4","350160","spotify:user:1251123611","2016-10-05T02:35:46Z"
"spotify:track:0cs671lxX2eoDzr2KMuo3N","Here Comes Your Man","Pixies","Doolittle","1","5","201693","spotify:user:1251123611","2016-10-05T02:35:52Z"
"spotify:track:0293bTPojlkLvyr8ojc74y","You Make My Dreams","Daryl Hall & John Oates","(500) Days of Summer (Music from the Motion Picture)","1","7","184320","spotify:user:1251123611","2016-10-05T02:35:57Z"
"spotify:track:0ZEXLvA1oGRMZCbbfRNdky","Friday I'm In Love","The Cure","Greatest Hits","1","14","215293","spotify:user:1251123611","2016-10-05T02:36:02Z"
"spotify:track:7MRyJPksH3G2cXHN8UKYzP","American Girl","Tom Petty and the Heartbreakers","Tom Petty & The Heartbreakers","1","10","214733","spotify:user:1251123611","2016-10-05T02:36:06Z"
"spotify:track:0Y2SrByf4G3kbq2nBEHQRn","Spirit In The Sky","Norman Greenbaum","Music From The Motion Picture Michael","1","11","239600","spotify:user:1251123611","2016-10-05T02:36:12Z"
