﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2RwFdFIN9JAyVUzevwkzez","How Sweet It Is [To Be Loved By You]","James Taylor","Gorilla","1","3","214133","spotify:user:12478133","2016-09-28T02:57:32Z"
"spotify:track:2pp3RfqX5cb1BAnmNi4Nej","What A Wonderful World","Louis Armstrong","All Time Greatest Hits","1","1","140333","spotify:user:12478133","2016-09-28T02:59:09Z"
"spotify:track:2ZNTPtYmAhN9vCwnAgqKn1","Shout, Pts. 1 & 2","The Isley Brothers","Shout!","1","11","268560","spotify:user:12478133","2016-09-28T02:59:37Z"
"spotify:track:3LLAyyUl6U1HHd9vVUqf7X","Twist And Shout","The Isley Brothers","60s Greatest Hits And Rare Classics","1","1","148533","spotify:user:12478133","2016-09-28T02:59:48Z"
"spotify:track:6jWkZvd1URGktyTTwcpPpB","My Girl","The Temptations","The Temptations Sing Smokey","1","3","165000","spotify:user:12478133","2016-09-28T03:00:46Z"
"spotify:track:7s25THrKz86DM225dOYwnr","Respect","Aretha Franklin","I Never Loved A Man The Way I Love You","1","1","147600","spotify:user:12478133","2016-09-28T03:01:10Z"
"spotify:track:3NfxSdJnVdon1axzloJgba","I Say a Little Prayer","Aretha Franklin","Aretha Now","1","2","216773","spotify:user:12478133","2016-09-28T03:01:35Z"
"spotify:track:5uvosCdMlFdTXhoazkTI5R","Light My Fire","The Doors","The Doors","1","6","429760","spotify:user:12478133","2016-09-28T03:02:16Z"
"spotify:track:67HxeUADW4H3ERfaPW59ma","Love Me Two Times","The Doors","Strange Days","1","3","195106","spotify:user:12478133","2016-09-28T03:04:10Z"
"spotify:track:51FpzuGkRYXFgsE2zXt9av","When A Man Loves A Woman","Percy Sledge","When A Man Loves A Woman","1","1","173866","spotify:user:12478133","2016-09-28T03:04:44Z"
"spotify:track:7zvwxa2s4zIX7y49plhrmo","You Really Got A Hold On Me","Percy Sledge","The Ultimate Collection - When A Man Loves A Woman","1","19","173893","spotify:user:12478133","2016-09-28T03:05:11Z"
"spotify:track:0cJR7CDs8imtstf2pyFUZP","I've Got A Woman","Ray Charles","Hit The Road Jack and Don't You Come Back","1","3","175626","spotify:user:12478133","2016-09-28T03:06:00Z"
"spotify:track:64CR7W5ZxCwcMu8AphwCt9","Earth Angel","The Penguins","Earth Angel - 1954-1960","1","3","178026","spotify:user:12478133","2016-09-28T03:06:31Z"
"spotify:track:3qdrBfMPdFvoHcFfwedgXP","Be My Baby","The Ronettes","Love Songs","1","43","160906","spotify:user:12478133","2016-09-28T03:07:29Z"
"spotify:track:59I1JDc3osdnAnm4Q2vKKz","Under The Boardwalk","The Drifters","Stand By Me - The Very Best of","1","4","158840","spotify:user:12478133","2016-09-28T03:07:55Z"
"spotify:track:6XAcmxPbCfMzLBvjBd2G0H","Why Do Fools Fall In Love","Frankie Lymon & The Teenagers","Frankie Lymon & The Teenagers Greatest Hits","1","1","140480","spotify:user:12478133","2016-09-28T03:08:58Z"
"spotify:track:5A3XwVCzBoeg6Tru5VXVLX","Greased Lightnin'","John Travolta, Jeff Conaway","Grease","1","8","194466","spotify:user:12478133","2016-09-28T03:12:24Z"
"spotify:track:4CAmB1R51xO4jWaNvz1yuo","We Go Together","John Travolta, Olivia Newton-John,"Grease","1","22","179573","spotify:user:12478133","2016-09-28T03:12:55Z"
"spotify:track:7MRyJPksH3G2cXHN8UKYzP","American Girl","Tom Petty and the Heartbreakers","Tom Petty & The Heartbreakers","1","10","214733","spotify:user:12478133","2016-09-28T03:14:05Z"
"spotify:track:6mv76kovZyVB0UHbqUsee0","Proud Mary","Creedence Clearwater Revival","Bayou Country (40th Anniversary Edition)","1","6","187213","spotify:user:12478133","2016-09-28T03:15:14Z"
"spotify:track:4CoGNqLap7UGU5Q3VdKug0","Ain't Too Proud To Beg","The Temptations","Gettin' Ready","1","3","156173","spotify:user:12478133","2016-09-28T03:15:41Z"
"spotify:track:5AJrhrwz4oSZX2PwwV4qrN","Time Of The Season (Mono Version)","The Zombies","Odessey And Oracle","1","12","214026","spotify:user:12478133","2016-09-28T03:16:53Z"
